parameter,problem,a,b,observed_difference,simultaneous_difference_bounds,beyond_10pp_supported,original_cell_parse_eligible
LL,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
LL,S1,hybrid,paraphrase_2,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
LL,S1,hybrid,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
LL,S1,paraphrase_1,paraphrase_2,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
LL,S1,paraphrase_1,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
LL,S1,paraphrase_2,paraphrase_3,0.0,"[-0.19861679976008328, 0.19861679976008328]",False,True
LL,S2,hybrid,paraphrase_1,0.08,"[-0.1501531118193742, 0.2963877403271162]",False,True
LL,S2,hybrid,paraphrase_2,0.08,"[-0.1501531118193742, 0.2963877403271162]",False,True
LL,S2,hybrid,paraphrase_3,-0.21999999999999997,"[-0.5517239071395378, 0.18674089932692117]",False,True
LL,S2,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
LL,S2,paraphrase_1,paraphrase_3,-0.3,"[-0.5575071887051524, 0.046289552384793764]",False,True
LL,S2,paraphrase_2,paraphrase_3,-0.3,"[-0.5575071887051524, 0.046289552384793764]",False,True
LL,S3,hybrid,paraphrase_1,-0.2799999999999999,"[-0.5772900939338681, 0.11165376664294235]",False,True
LL,S3,hybrid,paraphrase_2,-0.31999999999999995,"[-0.5777052334478433, 0.03322958944190191]",False,True
LL,S3,hybrid,paraphrase_3,-0.09999999999999998,"[-0.5155054674368887, 0.34933514348464234]",False,True
LL,S3,paraphrase_1,paraphrase_2,-0.040000000000000036,"[-0.23436057058602922, 0.15552125387101357]",False,True
LL,S3,paraphrase_1,paraphrase_3,0.17999999999999994,"[-0.17216080457507466, 0.471626807913754]",False,True
LL,S3,paraphrase_2,paraphrase_3,0.21999999999999997,"[-0.09373662737403421, 0.4720419474277292]",False,True
CS,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S1,hybrid,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S1,paraphrase_1,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S1,paraphrase_2,paraphrase_3,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
CS,S2,hybrid,paraphrase_1,-0.12000000000000001,"[-0.4435545672665934, 0.24467342510369355]",False,True
CS,S2,hybrid,paraphrase_2,0.08,"[-0.1501531118193742, 0.2963877403271162]",False,True
CS,S2,hybrid,paraphrase_3,-0.12000000000000001,"[-0.4435545672665934, 0.24467342510369355]",False,True
CS,S2,paraphrase_1,paraphrase_2,0.2,"[-0.10422207816156615, 0.44933784883220795]",False,True
CS,S2,paraphrase_1,paraphrase_3,0.0,"[-0.39762353360878533, 0.39762353360878533]",False,True
CS,S2,paraphrase_2,paraphrase_3,-0.2,"[-0.44933784883220795, 0.10422207816156615]",False,True
CS,S3,hybrid,paraphrase_1,-0.14,"[-0.5695552713589285, 0.3367049420423615]",False,True
CS,S3,hybrid,paraphrase_2,-0.12,"[-0.5574219259286111, 0.3578073483022075]",False,True
CS,S3,hybrid,paraphrase_3,0.15999999999999998,"[-0.3450428270746103, 0.6114160338641059]",False,True
CS,S3,paraphrase_1,paraphrase_2,0.020000000000000018,"[-0.4187298932020022, 0.4519656448921656]",False,True
CS,S3,paraphrase_1,paraphrase_3,0.3,"[-0.20635079434800147, 0.705574330454064]",False,True
CS,S3,paraphrase_2,paraphrase_3,0.27999999999999997,"[-0.22745320060784746, 0.6934409850237466]",False,True
RT,S1,hybrid,paraphrase_1,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RT,S1,hybrid,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RT,S1,hybrid,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
RT,S1,paraphrase_1,paraphrase_2,0.0,"[-0.15593639338498877, 0.15593639338498877]",False,True
RT,S1,paraphrase_1,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
RT,S1,paraphrase_2,paraphrase_3,0.020000000000000018,"[-0.15593222629291636, 0.1986209668521557]",False,True
RT,S2,hybrid,paraphrase_1,0.06,"[-0.15367868342393584, 0.2665351456005038]",False,True
