parameter,problem,observed_range,same_boundary_saturation_95pct,original_equivalent,original_parse_eligible,large_difference_supported,diagnostic_category,strong_pairs
LL,S1,0.020000000000000018,True,True,True,False,equivalent_saturated,0
LL,S2,0.3,False,False,True,False,observed_large_difference_uncertain,0
LL,S3,0.31999999999999995,False,False,True,False,observed_large_difference_uncertain,0
CS,S1,0.0,True,True,True,False,equivalent_saturated,0
CS,S2,0.2,False,False,True,False,observed_large_difference_uncertain,0
CS,S3,0.3,False,False,True,False,observed_large_difference_uncertain,0
RT,S1,0.020000000000000018,True,True,True,False,equivalent_saturated,0
RT,S2,0.06,False,False,True,False,within_margin_observed_but_not_established,0
RT,S3,0.13999999999999996,False,False,True,False,observed_large_difference_uncertain,0
MoR,S1,0.040000000000000036,True,False,True,False,within_margin_observed_but_not_established,0
MoR,S2,0.49416666666666664,False,False,False,False,observed_large_difference_uncertain,0
MoR,S3,0.24,False,False,True,False,observed_large_difference_uncertain,0
RE,S1,0.0,True,True,True,False,equivalent_saturated,0
RE,S2,0.0,True,True,True,False,equivalent_saturated,0
RE,S3,0.5,False,False,True,False,observed_large_difference_uncertain,0
PD,S1,0.0,True,True,True,False,equivalent_saturated,0
PD,S2,0.28,False,False,True,False,observed_large_difference_uncertain,0
PD,S3,0.6,False,False,True,True,large_difference_supported,1
TfA,S1,0.040000000000000036,True,False,True,False,within_margin_observed_but_not_established,0
TfA,S2,0.12000000000000001,False,False,True,False,observed_large_difference_uncertain,0
TfA,S3,0.14,False,False,True,False,observed_large_difference_uncertain,0
ID,S1,0.0,True,True,True,False,equivalent_saturated,0
ID,S2,0.46,False,False,True,False,observed_large_difference_uncertain,0
ID,S3,0.48000000000000004,False,False,True,False,observed_large_difference_uncertain,0
MS,S1,0.040000000000000036,True,False,True,False,within_margin_observed_but_not_established,0
MS,S2,0.39999999999999997,False,False,True,False,observed_large_difference_uncertain,0
MS,S3,0.28,False,False,True,False,observed_large_difference_uncertain,0
AW,S1,0.020000000000000018,True,True,True,False,equivalent_saturated,0
AW,S2,0.18,False,False,True,False,observed_large_difference_uncertain,0
AW,S3,0.4,False,False,True,False,observed_large_difference_uncertain,0
