stage,problem,group,config,arm,round,agent,labels,state_hash_before,vote,status
complex,C3,19.0,neutral,B,1.0,80,"['CONTINUE', 'PIVOT']",9e25d04f0484e1f5ecb4f84288f149d9b956ca2589da8455737f73c82e9b4794,CONTINUE,ok
simple,S2,,00100,U,,27,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,11011,U,,84,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,11011,U,,323,"['A', 'B']",,A,ok
simple,S2,,00100,E,,55,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,11011,U,,177,"['A', 'B']",,A,ok
complex,C3,3.0,11011,E,6.0,184,"['CONTINUE', 'PIVOT']",0ae9c848f760151992ff833984c63c5e2e103834c509f72ea2c7d512d0f494cf,CONTINUE,ok
simple,S3,,00100,E,,348,"['ADOPT', 'WAIT']",,WAIT,ok
complex,C2,17.0,00100,E,3.0,18,"['APPROVE', 'REJECT']",750874fe73bac1aceb581481309e2a341da549993526d2bc41d6a095958e6ead,APPROVE,ok
simple,S2,,11011,E,,17,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,10.0,00100,U,2.0,186,"['CONTINUE', 'PIVOT']",d90ebb1162bb558e504f48adb770827755d657afa2b01bc4b91923b9654e14c9,CONTINUE,ok
simple,S1,,11011,U,,38,"['A', 'B']",,A,ok
simple,S3,,11011,U,,27,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,6.0,00100,E,5.0,374,"['APPROVE', 'REJECT']",d19b5e2417dcad1a53afa28925995aa2277aedd3e46be46c29a6ea2bf9125727,APPROVE,ok
simple,S3,,11011,E,,320,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,3.0,00100,E,3.0,335,"['APPROVE', 'REJECT']",e2b72d20eb6e22dcae4aee1206b1bfd27777087b11155e18baf3fc66edf14510,APPROVE,ok
complex,C2,2.0,neutral,B,1.0,234,"['APPROVE', 'REJECT']",3f5cc313b9ae0d79701cc7de95341e78d3cedd9b4ed19e51fbce107e273dc02e,APPROVE,ok
simple,S2,,00100,U,,205,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,11.0,11011,U,4.0,235,"['CONTINUE', 'PIVOT']",80c75823166990158f1863dab701ab3b3623f3a068324e378b18dba12c6cb02d,CONTINUE,ok
complex,C3,18.0,00100,E,6.0,270,"['CONTINUE', 'PIVOT']",a4efdff587519ebb111251f30aad85baa55c3d3c2d25fff8bcf786e75b23abe5,CONTINUE,ok
complex,C2,5.0,00100,E,5.0,170,"['APPROVE', 'REJECT']",c7a5ba29c3a56d4ade448494aa7295d97a87422604043087ff0edd7b3ff8cbe0,APPROVE,ok
simple,S1,,11011,U,,76,"['A', 'B']",,A,ok
complex,C3,9.0,11011,U,3.0,232,"['CONTINUE', 'PIVOT']",88f8c13f0d055707fbace9317c8913a487aa16b4faccfb57268660eb3795c1d8,CONTINUE,ok
simple,S2,,00100,U,,89,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,18.0,11011,U,5.0,225,"['APPROVE', 'REJECT']",b5b8253b322b8053b803098691fef8da6b468effc2e1911b78a53ca87b5a1ff7,REJECT,ok
complex,C2,17.0,00100,E,2.0,313,"['APPROVE', 'REJECT']",09f2d3e9680ad9a7a951168f62c855f9642ff435c6c8d5736edba686c13bd775,APPROVE,ok
simple,S1,,00100,U,,346,"['A', 'B']",,A,ok
simple,S3,,11011,U,,204,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S2,,11011,E,,314,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,5.0,00100,E,1.0,93,"['APPROVE', 'REJECT']",ca2c9d5e74dfa2fc71d470b70dbec70e7fc6510fc4c2476cf9ef3c2d1153e098,APPROVE,ok
simple,S1,,11011,E,,364,"['A', 'B']",,A,ok
complex,C3,5.0,11011,U,6.0,96,"['CONTINUE', 'PIVOT']",f8030644131bade502ef816b2546ebd54b134f7352fba74ea969b15a234c6d34,CONTINUE,ok
complex,C2,7.0,00100,U,4.0,47,"['APPROVE', 'REJECT']",697d1b8591fba56eb67cc4e2df1fce5e93751b78335d3964f4aca00076bf0f00,APPROVE,ok
simple,S1,,11011,E,,129,"['A', 'B']",,A,ok
complex,C2,10.0,00100,E,3.0,344,"['APPROVE', 'REJECT']",3b3f77862fa2c316e4cb31148bca5027fbd95c6db29746633b989aa48a0754a1,APPROVE,ok
complex,C3,13.0,11011,E,2.0,64,"['CONTINUE', 'PIVOT']",f96e22fc4d79380d47c0c8340baadaa179568f9908a757bb365ca2392315f19a,CONTINUE,ok
complex,C3,12.0,00100,E,6.0,364,"['CONTINUE', 'PIVOT']",d783aa5e73c829a214cc53a97ff7ee5a2d2328a5c85cf6c6f51b9ce81be14d80,CONTINUE,ok
complex,C1,16.0,00100,E,5.0,68,"['PACKAGE_A', 'PACKAGE_B']",18acda197e3d494d6f203a21c7abd398d510a42a10ded0f16debdd994308455b,PACKAGE_B,ok
complex,C3,8.0,neutral,B,1.0,181,"['CONTINUE', 'PIVOT']",95036a271531ba339c049f7416b4a6bc16a79ffa54ad295788682a83af160329,CONTINUE,ok
complex,C3,14.0,11011,E,1.0,89,"['CONTINUE', 'PIVOT']",c79ee3e87a1ace9203a9bf2b3e227385f174475df55fa19dc22df23a9f5daa16,CONTINUE,ok
simple,S2,,00100,E,,361,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,20.0,00100,E,2.0,267,"['APPROVE', 'REJECT']",83a3d92a806267561177dac4a91e20c7c7888e6a6c14b69b41bf9fa3827599a9,APPROVE,ok
simple,S1,,00100,E,,51,"['A', 'B']",,A,ok
simple,S1,,11011,E,,50,"['A', 'B']",,A,ok
complex,C2,20.0,00100,U,3.0,267,"['APPROVE', 'REJECT']",657f4944f0e4d1b189bba03b7bfac8a7638d54c71712e8704032e0698d26c4f5,APPROVE,ok
complex,C1,1.0,00100,E,3.0,372,"['PACKAGE_A', 'PACKAGE_B']",7fa24b80c4b27b154d52e709c6e294f137bbce0eb0289b3b12b8e0883ccc3493,PACKAGE_B,ok
simple,S3,,00100,U,,220,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S1,,00100,E,,183,"['A', 'B']",,A,ok
simple,S1,,00100,E,,146,"['A', 'B']",,A,ok
complex,C3,10.0,11011,E,6.0,239,"['CONTINUE', 'PIVOT']",eac5142b28d3dc9317409d292c396cb551d854e1ff590b835ad39eb46cbaa2ab,CONTINUE,ok
simple,S1,,00100,U,,397,"['A', 'B']",,A,ok
simple,S1,,00100,U,,122,"['A', 'B']",,A,ok
simple,S3,,00100,E,,376,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,12.0,11011,E,4.0,175,"['APPROVE', 'REJECT']",ecdc174c85c0f9e803855ff07ae6bbcb3888228ebe888c1c12cbe5c13b0059e6,REJECT,ok
simple,S3,,11011,U,,183,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,2.0,00100,U,5.0,173,"['APPROVE', 'REJECT']",7c86c478b7a905a3b1f53e0f1112fbceb8e8072142eec964d365b6472afc765b,APPROVE,ok
complex,C2,18.0,00100,U,2.0,26,"['APPROVE', 'REJECT']",4b227ceff33f6768d3f00df0a3dd1a7052acd1e090a8e3573caeeca7e5cbbd27,APPROVE,ok
complex,C3,13.0,00100,U,4.0,64,"['CONTINUE', 'PIVOT']",3e7486ed844224972b5fde2a12eb5cfe996634c2cda5ecee59cbf630bcf26c0b,CONTINUE,ok
simple,S1,,11011,E,,131,"['A', 'B']",,A,ok
complex,C3,10.0,neutral,B,6.0,186,"['CONTINUE', 'PIVOT']",25f7cd5a932c3e6e73cb08c839c7b4ba785bbe1f71140ae8bfcc855b43b666cc,CONTINUE,ok
complex,C2,19.0,11011,E,4.0,157,"['APPROVE', 'REJECT']",f7609e66d059088a9772b71901e9b4fcf3c4e7bd92bddf27268302e81a3c04a2,APPROVE,ok
complex,C3,6.0,neutral,B,5.0,188,"['CONTINUE', 'PIVOT']",71fa306ad4b3bb330d7cb59f5cb158a21381182d4a9bb55c95249c8603996232,CONTINUE,ok
complex,C3,5.0,00100,E,5.0,205,"['CONTINUE', 'PIVOT']",ab4b8f85a29fd0b128c2bc45dcc92b35f456d5761e9d6107f7399b982b9fb40c,CONTINUE,ok
simple,S1,,00100,U,,211,"['A', 'B']",,B,ok
complex,C2,4.0,11011,E,2.0,5,"['APPROVE', 'REJECT']",bbd83a98079e4fdefac0bd2b6c138fc65fd6bf73c9246b98734bf91c026a9f0a,APPROVE,ok
complex,C1,18.0,00100,E,2.0,59,"['PACKAGE_A', 'PACKAGE_B']",57b508b90e75ea976f7b51ec584723240c5931e8c95b31a5a50fc64fc1bd9178,PACKAGE_A,ok
complex,C1,4.0,11011,U,1.0,276,"['PACKAGE_A', 'PACKAGE_B']",238a59f6a817d52f9bb4d7d14a5a630db451f3559951c2b3d89d02e2a29d3e03,PACKAGE_B,ok
simple,S2,,00100,E,,155,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,8.0,00100,E,3.0,393,"['APPROVE', 'REJECT']",525ee140bfcc66b5a289074beac555f1e4bb98cc33a7486e50db7e07e4cefb03,APPROVE,ok
simple,S1,,00100,U,,60,"['A', 'B']",,A,ok
simple,S1,,00100,U,,159,"['A', 'B']",,A,ok
simple,S1,,11011,U,,380,"['A', 'B']",,A,ok
simple,S3,,11011,U,,126,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,4.0,00100,E,2.0,5,"['APPROVE', 'REJECT']",f93558abeea4f9669dedb586d39288a78159364088c18a38182676194d8d58f4,APPROVE,ok
complex,C3,3.0,11011,E,2.0,244,"['CONTINUE', 'PIVOT']",24d73ff82ad002316d351783fb29b1849c7b696c694afbad2f563df51c68417f,CONTINUE,ok
complex,C2,8.0,00100,U,1.0,288,"['APPROVE', 'REJECT']",3d2c1a8ebfbfa448a0e0ef7df13a5652e78a80aecc07924bac8a597adf760ffc,APPROVE,ok
complex,C3,11.0,11011,E,2.0,207,"['CONTINUE', 'PIVOT']",6f548c149da7df53303819d48522a00e073db5d0c96e8ca7637ab683c7910765,CONTINUE,ok
simple,S3,,11011,E,,60,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,00100,U,,153,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S1,,11011,U,,370,"['A', 'B']",,A,ok
simple,S3,,00100,E,,108,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,16.0,11011,U,1.0,288,"['CONTINUE', 'PIVOT']",24b459be1e00018669ec39dffbf1fde2d26e10851aab9943f2a811c3681971b2,CONTINUE,ok
complex,C2,3.0,neutral,B,5.0,260,"['APPROVE', 'REJECT']",482732aaaa5c3ed5687a4f862520d3aca1b15bd2d6033ac14c0cbb7b134a0398,APPROVE,ok
complex,C2,5.0,11011,E,3.0,93,"['APPROVE', 'REJECT']",bf5a922e7e4a4310c30ab1b7dedc462c3cbc757a9c070ed39f7b0d75119b00fd,APPROVE,ok
simple,S2,,00100,U,,15,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,9.0,00100,U,2.0,289,"['APPROVE', 'REJECT']",1dff95571023b628aad25afbed874ffd95b15c3aadf3f2a6105af7fc1a6f1369,APPROVE,ok
simple,S3,,00100,U,,136,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,00100,U,,307,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S1,,11011,U,,100,"['A', 'B']",,A,ok
complex,C3,10.0,11011,U,6.0,346,"['CONTINUE', 'PIVOT']",d5786d61ad84c31d42386370107c7466d544db7a599bd0360ce1be1106ea9a7a,CONTINUE,ok
simple,S2,,00100,E,,298,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
simple,S2,,11011,E,,242,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
simple,S1,,00100,E,,348,"['A', 'B']",,A,ok
complex,C2,12.0,00100,E,2.0,237,"['APPROVE', 'REJECT']",e87a28b2526c2df47dce3f3bb2b20a9f01f2c7159f5b7daec4e05850933fb83a,APPROVE,ok
complex,C2,11.0,neutral,B,3.0,21,"['APPROVE', 'REJECT']",3d44a591a1405d1719bce0bd6e84343314bae056e64cfd096c37fb331b892d49,APPROVE,ok
simple,S2,,11011,U,,199,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S3,,11011,U,,314,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C1,6.0,00100,E,1.0,219,"['PACKAGE_A', 'PACKAGE_B']",84c359c0e6028c7bab517da48aef756659d4b6f5bcbd3be4583af173368b7bab,PACKAGE_A,ok
complex,C3,18.0,11011,U,2.0,270,"['CONTINUE', 'PIVOT']",980df98b13559cd9243004007220d5c1eab7acbddf5ac6205e8755df3c649d62,CONTINUE,ok
simple,S3,,00100,E,,227,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,8.0,neutral,B,4.0,101,"['APPROVE', 'REJECT']",d93e20d2648f67c29872df24e0171b492b93f9180e3a2d26c71960952f7075c2,APPROVE,ok
complex,C1,9.0,11011,U,1.0,192,"['PACKAGE_A', 'PACKAGE_B']",182fd0a00aca4e791ecf8c4ef6bdccd5bd65c9cd68020564e941f0dbc88eff52,PACKAGE_B,ok
simple,S2,,11011,U,,151,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,E,,171,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
complex,C3,14.0,neutral,B,3.0,70,"['CONTINUE', 'PIVOT']",718b93d20c27d077502be89241fa189b68f479bbd329916dea71803deed03f5c,CONTINUE,ok
simple,S2,,11011,U,,219,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,12.0,11011,E,3.0,237,"['APPROVE', 'REJECT']",47852aa0fb0143bff682265cca65e3fe466cb1bb066f1e5c49caf3b125de92b1,APPROVE,ok
complex,C3,3.0,11011,U,6.0,335,"['CONTINUE', 'PIVOT']",e1517c8020a95f28054efffd7788d5f5b6563b55f84daad6bff05987e2a34ee7,CONTINUE,ok
complex,C3,8.0,11011,E,5.0,330,"['CONTINUE', 'PIVOT']",b38b0965003e9d6c78dd9dca6f8e72950e44eb0a94af2b753de7fab9a3a855d5,CONTINUE,ok
simple,S1,,00100,U,,216,"['A', 'B']",,A,ok
complex,C2,4.0,11011,E,5.0,305,"['APPROVE', 'REJECT']",76f81073f30fbcdff3f567a513b75963719869aa62680a45da2e08478e66c5bb,APPROVE,ok
simple,S2,,00100,E,,312,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S3,,00100,E,,156,"['ADOPT', 'WAIT']",,WAIT,ok
simple,S3,,00100,U,,358,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C1,13.0,00100,E,1.0,183,"['PACKAGE_A', 'PACKAGE_B']",0e9773317c9f4ba840cc807bfb7d2bbe5ac1282e2dbf26ef13e81fb5ede4ca5e,PACKAGE_A,ok
complex,C3,16.0,11011,U,6.0,288,"['CONTINUE', 'PIVOT']",764273fe80566625fe5403321c8b575a65e077ee36114e06f8251dfd31d9ab34,CONTINUE,ok
simple,S2,,00100,E,,247,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
complex,C3,12.0,11011,U,5.0,37,"['CONTINUE', 'PIVOT']",b37dd0efb8a35fcab951baa2422b78c58c5408b3ed07e16fdfdcfc5c25db808d,CONTINUE,ok
simple,S3,,00100,U,,296,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,10.0,11011,E,2.0,233,"['APPROVE', 'REJECT']",aad5169c08833118f5ce36a4ef1163fc95e4bf51cf75c2d99a5192cb3513733b,APPROVE,ok
simple,S1,,11011,E,,363,"['A', 'B']",,A,ok
complex,C3,13.0,neutral,B,1.0,341,"['CONTINUE', 'PIVOT']",4ef19517e48e6a0689d5da980c52794a5a458a27ada10ebb6db5d639db612c43,CONTINUE,ok
complex,C3,7.0,11011,E,2.0,178,"['CONTINUE', 'PIVOT']",bfa5aa66deb5bdeb49dc8eb4d531f5f40543e14fcaa0d1ea3262016318917acd,CONTINUE,ok
complex,C2,7.0,11011,E,5.0,388,"['APPROVE', 'REJECT']",fa9cfebff3d391151d84e87451569d6af4517e34f41dcde566aa0b28f85c56df,APPROVE,ok
complex,C2,12.0,00100,U,1.0,357,"['APPROVE', 'REJECT']",b4eb6ec2585d2a28663441963b35551ec6c741c3fbd3d1a6e95c9a469c23303b,APPROVE,ok
simple,S1,,11011,U,,246,"['A', 'B']",,A,ok
complex,C3,4.0,11011,U,6.0,115,"['CONTINUE', 'PIVOT']",5d871b452365089810fcf545badd9ac21d49ef61af7e9655b7bf73968f264d47,CONTINUE,ok
complex,C2,6.0,neutral,B,2.0,340,"['APPROVE', 'REJECT']",2582b1e78f626df3c07277222bb8768bdb02ab2309c970792fa96f85ef0073ec,APPROVE,ok
complex,C2,18.0,11011,U,2.0,8,"['APPROVE', 'REJECT']",a16b2f4ef5ddd7b3f838987b138bf5faa8f577e8aee9b7d16d9dc6c8c0b14b02,REJECT,ok
complex,C1,9.0,00100,U,1.0,50,"['PACKAGE_A', 'PACKAGE_B']",182fd0a00aca4e791ecf8c4ef6bdccd5bd65c9cd68020564e941f0dbc88eff52,PACKAGE_A,ok
simple,S1,,11011,U,,103,"['A', 'B']",,A,ok
simple,S1,,11011,U,,373,"['A', 'B']",,A,ok
complex,C2,17.0,11011,E,1.0,331,"['APPROVE', 'REJECT']",f7ad5361fb9be874ef0601c6f28f7629d2a217d32a70479cf0a7748bf7be2f84,APPROVE,ok
simple,S1,,11011,E,,307,"['A', 'B']",,A,ok
simple,S2,,11011,E,,233,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,00100,E,,234,"['A', 'B']",,A,ok
complex,C2,9.0,00100,E,5.0,271,"['APPROVE', 'REJECT']",cd8d9decf112d1755d7e3c1eb20363b75c72973b749a2239302ee166f84ff92f,APPROVE,ok
complex,C2,14.0,00100,E,5.0,32,"['APPROVE', 'REJECT']",1ee1f377d51d2b626844abc35af2204135be3c6c9be4a401c3ec14d58e2825ee,APPROVE,ok
simple,S2,,00100,E,,229,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,3.0,11011,U,3.0,244,"['CONTINUE', 'PIVOT']",e480807ce26092c336cf86f2b35c1d1479420162f60891a4496b921c3f6f9ca9,CONTINUE,ok
complex,C2,4.0,11011,E,4.0,5,"['APPROVE', 'REJECT']",e4713491b4de9acc5b180b09069cf71285acb7d032252d792a7ba8728439f18f,APPROVE,ok
simple,S2,,00100,E,,31,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
simple,S3,,11011,U,,78,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S1,,11011,E,,147,"['A', 'B']",,A,ok
complex,C1,20.0,00100,E,3.0,347,"['PACKAGE_A', 'PACKAGE_B']",1ad684dfdd4bb5e98fa4062d49b3f1974ef921ff34678f1e9c8b3441e16fd139,PACKAGE_A,ok
complex,C1,5.0,00100,E,2.0,243,"['PACKAGE_A', 'PACKAGE_B']",e4d7dd90f6cbac26e307973673929b28b07c6469f188a72245fd9ea6bf404f48,PACKAGE_A,ok
simple,S2,,00100,E,,256,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
complex,C3,2.0,neutral,B,4.0,174,"['CONTINUE', 'PIVOT']",2adc5d482fb4a26ca076264210ebe1df1c1550380fe6197d8ca904d63abeca5d,CONTINUE,ok
complex,C2,1.0,11011,U,5.0,39,"['APPROVE', 'REJECT']",09b512d386d0cda50faf879183fd01494e653261ee2252a457590e6f7599de7a,REJECT,ok
complex,C2,7.0,11011,U,4.0,47,"['APPROVE', 'REJECT']",9cb503676bced21e72998e6402c1397a5907f1f99e7adbf97cc7ac79a4c2c0fa,APPROVE,ok
simple,S2,,00100,U,,306,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,9.0,00100,E,3.0,167,"['CONTINUE', 'PIVOT']",c16f114d0b4222c3f3b6ea7cbd212fe7ca0f6f2dfac23da1974b22fe07f483de,CONTINUE,ok
complex,C3,19.0,00100,U,3.0,80,"['CONTINUE', 'PIVOT']",5da834cf0ea10c1539af9936c53bb6d1a1b60add682ecdb9203321deac18b286,CONTINUE,ok
complex,C3,4.0,00100,E,1.0,115,"['CONTINUE', 'PIVOT']",8614c9934ad66163b430f9ff4a4ddb0d8ac9d1c4767e263ce974465c813a7bb7,CONTINUE,ok
complex,C3,11.0,11011,E,6.0,235,"['CONTINUE', 'PIVOT']",feb1bf8cc04d8b6b6a09b9e9ba7bd42452d2e64e423620b297896ce52c3eb90a,CONTINUE,ok
complex,C3,14.0,11011,E,5.0,238,"['CONTINUE', 'PIVOT']",c49c61af8273e890c083d9a3259db01e0f00092880b43e250149cd83e781f151,CONTINUE,ok
simple,S3,,00100,U,,218,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,16.0,neutral,B,6.0,162,"['CONTINUE', 'PIVOT']",9756f3ec316cf799aa1056191bbf1a6a0a7deaf2199d42cea6fdbe747e914ee9,CONTINUE,ok
complex,C1,3.0,00100,U,1.0,142,"['PACKAGE_A', 'PACKAGE_B']",0753d6ee34ee4048b79a429ac0b95e78285ec4e70823e45b7622d543eb74b860,PACKAGE_A,ok
complex,C1,4.0,00100,U,1.0,276,"['PACKAGE_A', 'PACKAGE_B']",238a59f6a817d52f9bb4d7d14a5a630db451f3559951c2b3d89d02e2a29d3e03,PACKAGE_A,ok
simple,S3,,00100,E,,22,"['ADOPT', 'WAIT']",,ADOPT,ok
