problem,agent,config,arm,status,outcome,value
S2,27,00100,U,ok,LOCAL_CORRECTION,0.0
S2,17,11011,E,ok,FORMAL_REPORT,1.0
S1,38,11011,U,ok,A,1.0
S3,27,11011,U,ok,ADOPT,1.0
S1,50,11011,E,ok,A,1.0
S2,15,00100,U,ok,LOCAL_CORRECTION,0.0
S2,31,00100,E,ok,FORMAL_REPORT,1.0
S3,22,00100,E,ok,ADOPT,1.0
S1,24,11011,U,ok,A,1.0
S2,5,00100,U,ok,LOCAL_CORRECTION,0.0
S1,28,11011,U,ok,A,1.0
S1,23,00100,E,ok,A,1.0
S2,44,00100,E,ok,LOCAL_CORRECTION,0.0
S3,3,00100,U,ok,ADOPT,1.0
S2,37,11011,E,ok,LOCAL_CORRECTION,0.0
S2,21,00100,U,ok,LOCAL_CORRECTION,0.0
S1,15,11011,U,ok,A,1.0
S3,7,00100,U,ok,ADOPT,1.0
S3,15,11011,E,ok,WAIT,0.0
S1,11,11011,U,ok,A,1.0
S3,4,11011,U,ok,ADOPT,1.0
S1,34,11011,U,ok,A,1.0
S3,33,11011,E,ok,ADOPT,1.0
S2,32,00100,E,ok,LOCAL_CORRECTION,0.0
S3,1,11011,E,ok,WAIT,0.0
S1,16,00100,U,ok,A,1.0
S2,44,11011,E,ok,LOCAL_CORRECTION,0.0
S3,50,00100,E,ok,ADOPT,1.0
S1,49,00100,E,ok,A,1.0
S1,32,00100,U,ok,A,1.0
S2,45,11011,E,ok,LOCAL_CORRECTION,0.0
S2,7,00100,U,ok,LOCAL_CORRECTION,0.0
S3,17,00100,U,ok,ADOPT,1.0
S2,2,00100,U,ok,LOCAL_CORRECTION,0.0
S3,12,00100,U,ok,ADOPT,1.0
S2,3,00100,E,ok,LOCAL_CORRECTION,0.0
S2,48,00100,E,ok,LOCAL_CORRECTION,0.0
S1,4,11011,U,ok,A,1.0
S1,41,11011,U,ok,A,1.0
S3,16,11011,U,ok,ADOPT,1.0
S1,45,11011,U,ok,A,1.0
S3,20,00100,U,ok,ADOPT,1.0
S2,7,11011,E,ok,LOCAL_CORRECTION,0.0
S2,19,11011,E,ok,FORMAL_REPORT,1.0
S2,42,00100,E,ok,LOCAL_CORRECTION,0.0
S3,15,00100,E,ok,ADOPT,1.0
S1,48,00100,E,ok,A,1.0
S2,3,00100,U,ok,LOCAL_CORRECTION,0.0
S1,27,00100,U,ok,A,1.0
S3,8,00100,E,ok,ADOPT,1.0
S2,16,11011,U,ok,LOCAL_CORRECTION,0.0
S1,8,11011,E,ok,A,1.0
S3,48,00100,E,ok,ADOPT,1.0
S3,23,11011,U,ok,ADOPT,1.0
S2,1,00100,U,ok,LOCAL_CORRECTION,0.0
S2,41,11011,U,ok,LOCAL_CORRECTION,0.0
S3,43,00100,E,ok,ADOPT,1.0
S3,42,11011,U,ok,ADOPT,1.0
S3,32,11011,U,ok,ADOPT,1.0
S3,11,11011,E,ok,WAIT,0.0
S1,46,00100,E,ok,A,1.0
S1,37,11011,U,ok,A,1.0
S2,50,00100,E,ok,FORMAL_REPORT,1.0
S2,23,11011,U,ok,LOCAL_CORRECTION,0.0
S1,28,00100,E,ok,A,1.0
S1,19,11011,E,ok,A,1.0
S3,24,11011,E,ok,WAIT,0.0
S2,10,00100,U,ok,LOCAL_CORRECTION,0.0
S3,43,11011,U,ok,ADOPT,1.0
S3,23,00100,U,ok,ADOPT,1.0
S2,43,11011,U,ok,LOCAL_CORRECTION,0.0
S2,25,11011,U,ok,LOCAL_CORRECTION,0.0
S1,39,00100,U,ok,A,1.0
S1,16,11011,U,ok,A,1.0
S2,13,11011,E,ok,LOCAL_CORRECTION,0.0
S1,32,11011,E,ok,A,1.0
S1,42,00100,E,ok,A,1.0
S1,30,00100,E,ok,A,1.0
S2,10,11011,U,ok,LOCAL_CORRECTION,0.0
S3,37,00100,E,ok,ADOPT,1.0
S1,44,11011,E,ok,A,1.0
S3,32,11011,E,ok,WAIT,0.0
S2,22,00100,U,ok,LOCAL_CORRECTION,0.0
S2,1,11011,E,ok,LOCAL_CORRECTION,0.0
S3,36,11011,E,ok,ADOPT,1.0
S2,15,11011,U,ok,LOCAL_CORRECTION,0.0
S1,37,11011,E,ok,A,1.0
S1,38,11011,E,ok,A,1.0
S2,29,11011,E,ok,LOCAL_CORRECTION,0.0
S1,36,00100,U,ok,A,1.0
S3,13,11011,U,ok,ADOPT,1.0
S2,23,11011,E,ok,LOCAL_CORRECTION,0.0
S2,26,11011,E,ok,LOCAL_CORRECTION,0.0
S1,47,11011,U,ok,A,1.0
S2,31,11011,U,ok,LOCAL_CORRECTION,0.0
S3,32,00100,U,ok,ADOPT,1.0
S3,35,00100,E,ok,ADOPT,1.0
S3,31,00100,E,ok,ADOPT,1.0
S3,27,00100,U,ok,ADOPT,1.0
S1,22,00100,U,ok,A,1.0
S3,4,11011,E,ok,WAIT,0.0
S1,7,00100,E,ok,A,1.0
S2,21,11011,E,ok,LOCAL_CORRECTION,0.0
S1,49,11011,U,ok,A,1.0
S1,28,11011,E,ok,A,1.0
S3,27,11011,E,ok,ADOPT,1.0
S1,35,00100,E,ok,A,1.0
S1,4,00100,E,ok,A,1.0
S3,6,11011,U,ok,ADOPT,1.0
S1,33,00100,U,ok,A,1.0
S1,39,11011,E,ok,A,1.0
S2,49,00100,E,ok,LOCAL_CORRECTION,0.0
S2,6,11011,U,ok,LOCAL_CORRECTION,0.0
S2,37,00100,U,ok,LOCAL_CORRECTION,0.0
S3,7,11011,U,ok,ADOPT,1.0
S2,20,11011,U,ok,LOCAL_CORRECTION,0.0
S1,37,00100,E,ok,A,1.0
S2,17,11011,U,ok,LOCAL_CORRECTION,0.0
S1,40,11011,U,ok,A,1.0
S1,25,00100,U,ok,A,1.0
S1,22,11011,E,ok,A,1.0
S3,50,00100,U,ok,ADOPT,1.0
S1,7,11011,U,ok,A,1.0
S2,34,11011,U,ok,LOCAL_CORRECTION,0.0
S1,11,00100,E,ok,A,1.0
S1,31,11011,E,ok,A,1.0
S1,19,11011,U,ok,A,1.0
S3,25,00100,E,ok,ADOPT,1.0
S1,14,00100,U,ok,A,1.0
S1,19,00100,U,ok,B,0.0
S2,7,11011,U,ok,LOCAL_CORRECTION,0.0
S2,28,11011,E,ok,FORMAL_REPORT,1.0
S1,13,11011,U,ok,A,1.0
S2,5,11011,U,ok,LOCAL_CORRECTION,0.0
S3,20,00100,E,ok,ADOPT,1.0
S2,34,11011,E,ok,LOCAL_CORRECTION,0.0
S1,13,00100,U,ok,A,1.0
S1,31,11011,U,ok,A,1.0
S2,18,00100,E,ok,LOCAL_CORRECTION,0.0
S1,31,00100,U,ok,A,1.0
S1,34,00100,U,ok,A,1.0
S2,46,00100,U,ok,LOCAL_CORRECTION,0.0
S2,24,11011,E,ok,LOCAL_CORRECTION,0.0
S1,44,11011,U,ok,A,1.0
S2,11,11011,U,ok,LOCAL_CORRECTION,0.0
